lon,lat,Y,lambda_est,sigma_ou_sq_est,sigma_i_sq
-80.0000000000,59.5999984741,0.0000007033,0.6817502017,0.0562115349,0.0413259026
-80.0000000000,59.7000007629,0.0000003351,0.6831798687,0.0561815687,0.0412176992
-80.0000000000,59.7999992371,0.0000000029,0.6805443261,0.0556687452,0.0410001611
-80.0000000000,59.9000015259,-0.0000007721,0.6668466666,0.0537535027,0.0404042449
-80.0000000000,60.0000000000,-0.0000001095,0.6519890000,0.0518741757,0.0398814807
-79.5000000000,20.1000003815,0.0000014037,0.3299963020,0.0111365505,0.0169737504
-79.5000000000,20.2000007629,0.0000010894,0.3296593314,0.0112199262,0.0171174558
-79.5000000000,20.2999992371,-0.0000005393,0.3293495074,0.0113300150,0.0173005951
-79.5000000000,20.3999996185,0.0000016716,0.3290685176,0.0114668487,0.0175231931
-79.5000000000,20.5000000000,-0.0000000321,0.3288162743,0.0116303721,0.0177852137
-79.5000000000,20.6000003815,-0.0000003107,0.3244941690,0.0114333304,0.0177171584
-79.5000000000,20.7000007629,-0.0000010251,0.3162446121,0.0109967394,0.0174864454
-79.5000000000,20.7999992371,-0.0000022288,0.3075142430,0.0106548192,0.0174241068
-79.5000000000,20.8999996185,-0.0000001786,0.2986257508,0.0104097920,0.0175294948
-79.5000000000,21.0000000000,0.0000007501,0.2898815393,0.0102630788,0.0178021946
-79.5000000000,23.3999996185,-0.0000001464,0.4308387214,0.0163341723,0.0190562492
-79.5000000000,23.5000000000,-0.0000001714,0.4419249634,0.0163330082,0.0185793908
-79.5000000000,23.6000003815,0.0000004358,0.4549513215,0.0165923052,0.0183352533
-79.5000000000,23.7000007629,0.0000004286,0.4696826922,0.0171173047,0.0183222009
-79.5000000000,23.7999992371,-0.0000010894,0.4855134237,0.0177873820,0.0184181156
-79.5000000000,23.8999996185,-0.0000006858,0.5008653277,0.0179022644,0.0179713353
-79.5000000000,24.0000000000,-0.0000015109,0.5166370422,0.0181636009,0.0176786862
-79.5000000000,24.1000003815,0.0000001464,0.5323518866,0.0185694043,0.0175409115
-79.5000000000,24.2000007629,-0.0000004536,0.5474656321,0.0191166308,0.0175592063
-79.5000000000,24.2999992371,0.0000006108,0.5486193708,0.0190965198,0.0175041611
-79.5000000000,24.3999996185,0.0000000893,0.5400723015,0.0187293030,0.0174396256
-79.5000000000,24.5000000000,-0.0000004643,0.5318043340,0.0185462683,0.0175371166
-79.5000000000,24.6000003815,-0.0000013359,0.5240210893,0.0185469091,0.0177967201
-79.5000000000,24.7000007629,-0.0000001464,0.5168515007,0.0187503491,0.0182390100
-79.5000000000,24.7999992371,-0.0000003250,0.5150737003,0.0204097219,0.0199124287
-79.5000000000,24.8999996185,0.0000001679,0.5237281207,0.0231671669,0.0222175510
-79.5000000000,25.0000000000,-0.0000000750,0.5398978671,0.0270459615,0.0251472942
-79.5000000000,25.1000003815,0.0000000643,0.5611178991,0.0320841260,0.0286894694
-79.5000000000,25.2000007629,0.0000001286,0.5685551044,0.0354638062,0.0312876597
-79.5000000000,25.2999992371,0.0000000964,0.5600036173,0.0363437422,0.0325495602
-79.5000000000,25.3999996185,0.0000000321,0.5527529842,0.0374475978,0.0339737184
-79.5000000000,25.5000000000,0.0000017895,0.5466986953,0.0387729965,0.0355610289
-79.5000000000,25.6000003815,0.0000005465,0.5417287523,0.0403177962,0.0373121620
-79.5000000000,25.7000007629,-0.0000002465,0.5258158050,0.0388278700,0.0370215509
-79.5000000000,25.7999992371,0.0000004036,0.5107333647,0.0374893770,0.0368015155
-79.5000000000,25.8999996185,0.0000008251,0.4968928231,0.0363893993,0.0367169500
-79.5000000000,26.0000000000,-0.0000007644,0.4843362379,0.0355212055,0.0367699854
-79.5000000000,26.1000003815,0.0000022252,0.4726053691,0.0341180675,0.0361957256
-79.5000000000,26.2000007629,-0.0000005108,0.4612423244,0.0321425498,0.0349434522
-79.5000000000,26.2999992371,-0.0000007751,0.4507727127,0.0304620173,0.0338886660
-79.5000000000,26.3999996185,-0.0000018109,0.4413468006,0.0290699154,0.0330331892
-79.5000000000,26.5000000000,0.0000005072,0.4330982126,0.0279598944,0.0323789307
-79.5000000000,26.6000003815,-0.0000004608,0.4274154834,0.0268841889,0.0315497134
-79.5000000000,26.7000007629,0.0000005679,0.4227618783,0.0260504168,0.0309097987
-79.5000000000,26.7999992371,-0.0000003072,0.4192113109,0.0254582167,0.0304644200
-79.5000000000,26.8999996185,-0.0000008179,0.4168299785,0.0251049846,0.0302141784
-79.5000000000,27.0000000000,-0.0000003965,0.4148349952,0.0249225814,0.0301391501
-79.5000000000,27.1000003815,-0.0000006179,0.4127725522,0.0248429440,0.0301927761
-79.5000000000,27.2000007629,-0.0000002429,0.4112359076,0.0249032248,0.0303785145
-79.5000000000,27.2999992371,-0.0000002036,0.4102252958,0.0251029264,0.0306965121
-79.5000000000,27.3999996185,-0.0000012430,0.4094313893,0.0254113451,0.0311324828
-79.5000000000,27.5000000000,0.0000002893,0.4055742893,0.0254933201,0.0315286689
-79.5000000000,27.6000003815,0.0000005536,0.4025253728,0.0257375278,0.0320700688
-79.5000000000,27.7000007629,0.0000001072,0.4002593385,0.0261426177,0.0327570990
-79.5000000000,27.7999992371,-0.0000004893,0.3987393286,0.0267076641,0.0335901303
-79.5000000000,27.8999996185,-0.0000002750,0.3928995144,0.0267475192,0.0341386259
-79.5000000000,28.0000000000,-0.0000002036,0.3852195598,0.0265770778,0.0345960129
-79.5000000000,28.1000003815,0.0000001250,0.3785228265,0.0265738927,0.0352021006
-79.5000000000,28.2000007629,0.0000004215,0.3727822435,0.0267345496,0.0359581317
-79.5000000000,28.2999992371,0.0000010965,0.3672154775,0.0267620757,0.0365391990
-79.5000000000,28.3999996185,0.0000002822,0.3600154568,0.0259845760,0.0361881394
-79.5000000000,28.5000000000,0.0000009358,0.3536396515,0.0253831670,0.0359884628
-79.5000000000,28.6000003815,0.0000007679,0.3481146252,0.0249538682,0.0359414534
-79.5000000000,28.7000007629,-0.0000015359,0.3434527899,0.0246930756,0.0360482821
-79.5000000000,28.7999992371,-0.0000002572,0.3418317029,0.0242411122,0.0355576711
-79.5000000000,28.8999996185,0.0000011680,0.3413903650,0.0239297487,0.0351474869
-79.5000000000,29.0000000000,-0.0000009715,0.3417240831,0.0238321982,0.0349705277
-79.5000000000,29.1000003815,0.0000002322,0.3428421061,0.0239487216,0.0350267508
-79.5000000000,29.2000007629,-0.0000003858,0.3445166559,0.0240703300,0.0350334779
-79.5000000000,29.2999992371,0.0000014609,0.3466353892,0.0241597425,0.0349489267
-79.5000000000,29.3999996185,-0.0000010680,0.3494092819,0.0244620424,0.0351048548
-79.5000000000,29.5000000000,-0.0000009430,0.3527981927,0.0249786898,0.0355008189
-79.5000000000,29.6000003815,-0.0000011930,0.3564832916,0.0256357454,0.0360564473
-79.5000000000,29.7000007629,0.0000007537,0.3585824352,0.0258692149,0.0361715032
-79.5000000000,29.7999992371,-0.0000003715,0.3614250808,0.0263408758,0.0365402987
-79.5000000000,29.8999996185,0.0000000929,0.3649590914,0.0270524565,0.0371623135
-79.5000000000,30.0000000000,-0.0000006608,0.3691128841,0.0280060824,0.0380370155
-79.5000000000,30.1000003815,0.0000014180,0.3703422780,0.0286777299,0.0388178721
-79.5000000000,30.2000007629,0.0000011394,0.3715560612,0.0295355115,0.0398457000
-79.5000000000,30.2999992371,0.0000009430,0.3737920345,0.0307552665,0.0412395425
-79.5000000000,30.3999996185,0.0000015216,0.3769230572,0.0323391110,0.0429988229
-79.5000000000,30.5000000000,0.0000003893,0.3783370001,0.0340196975,0.0450595168
-79.5000000000,30.6000003815,0.0000001250,0.3777663400,0.0357791148,0.0474561446
-79.5000000000,30.7000007629,-0.0000002679,0.3782898271,0.0379703194,0.0502868100
-79.5000000000,30.7999992371,0.0000005715,0.3797274579,0.0405939445,0.0535514211
-79.5000000000,30.8999996185,0.0000002643,0.3807186741,0.0434187353,0.0571220720
-79.5000000000,31.0000000000,0.0000006536,0.3755235511,0.0452765934,0.0603846257
-79.5000000000,31.1000003815,0.0000006894,0.3711843421,0.0475085303,0.0640958707
-79.5000000000,31.2000007629,0.0000007215,0.3676196571,0.0501114987,0.0682567181
-79.5000000000,31.2999992371,0.0000011251,0.3647411125,0.0530828536,0.0728678506
-79.5000000000,31.3999996185,-0.0000002572,0.3542853073,0.0536690839,0.0758427457
-79.5000000000,31.5000000000,-0.0000001536,0.3438249138,0.0542515963,0.0789942193
-79.5000000000,31.6000003815,-0.0000008001,0.3346561457,0.0552568249,0.0826576127
-79.5000000000,31.7000007629,0.0000009287,0.3267011107,0.0566735752,0.0868361226
-79.5000000000,31.7999992371,-0.0000006072,0.3196082141,0.0569785349,0.0892380953
-79.5000000000,31.8999996185,-0.0000003107,0.3135593222,0.0568279549,0.0907175497
-79.5000000000,32.0000000000,-0.0000000822,0.3087206047,0.0572449379,0.0928131798
-79.5000000000,32.0999984741,-0.0000010323,0.3050264913,0.0582161099,0.0955279571
-79.5000000000,51.7000007629,-0.0000003227,1.2903281790,0.1089858711,0.0423318418
-79.5000000000,51.7999992371,0.0000007570,1.3162561577,0.1117097288,0.0425346462
-79.5000000000,51.9000015259,0.0000003855,1.2295881355,0.1138038114,0.0463772078
-79.5000000000,52.0000000000,0.0000004167,1.2039278352,0.1154167429,0.0480334141
-79.5000000000,52.0999984741,0.0000002208,1.2601435794,0.1165349633,0.0463387640
-79.5000000000,52.2000007629,0.0000003806,1.2901673968,0.1173959523,0.0455964033
-79.5000000000,52.2999992371,0.0000004748,1.2998631059,0.1183997616,0.0456431657
-79.5000000000,52.4000015259,0.0000000998,1.2814360917,0.1192582622,0.0466330511
-79.5000000000,52.5000000000,0.0000000859,1.2245015431,0.1193567365,0.0488368665
